station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
48016,SEWD-01e,02N08E33F500M,02N08E33F500M,Groundwater,37.979373,-121.108272,San Joaquin,1,2/24/2023 15:50,2/24/2023 15:50
47952,SEWD-01d,02N08E33F501M,02N08E33F501M,Groundwater,37.979373,-121.108273,San Joaquin,1,2/24/2023 15:30,2/24/2023 15:30
47953,SEWD-01c,02N08E33F502M,02N08E33F502M,Groundwater,37.979448,-121.108302,San Joaquin,1,2/24/2023 15:10,2/24/2023 15:10
47954,SEWD-01b,02N08E33F503M,02N08E33F503M,Groundwater,37.979448,-121.108303,San Joaquin,1,2/24/2023 14:45,2/24/2023 14:45
47955,SEWD-01a,02N08E33F504M,02N08E33F504M,Groundwater,37.979448,-121.108303,San Joaquin,1,2/24/2023 14:25,2/24/2023 14:25
48130,SSGSA-06a,05N02E20Q500M,05N02E20Q500M,Groundwater,38.25572,-121.774756,Solano,1,6/21/2023 10:25,6/21/2023 10:25
48131,SSGSA-06b,05N02E20Q501M,05N02E20Q501M,Groundwater,38.25572,-121.774757,Solano,1,6/21/2023 10:35,6/21/2023 10:35
47956,NSJWCD-01f,05N07E33N500M,05N07E33N500M,Groundwater,38.234535,-121.226051,San Joaquin,1,2/24/2023 13:10,2/24/2023 13:10
47957,NSJWCD-01e,05N07E33N501M,05N07E33N501M,Groundwater,38.234535,-121.22605,San Joaquin,1,2/24/2023 12:50,2/24/2023 12:50
47958,NSJWCD-01a,05N07E33N502M,05N07E33N502M,Groundwater,38.234721,-121.225801,San Joaquin,1,2/24/2023 11:15,2/24/2023 11:15
47959,NSJWCD-01b,05N07E33N503M,05N07E33N503M,Groundwater,38.23472,-121.225802,San Joaquin,1,2/24/2023 11:50,2/24/2023 11:50
47960,NSJWCD-01c,05N07E33N504M,05N07E33N504M,Groundwater,38.234721,-121.225801,San Joaquin,1,2/24/2023 12:10,2/24/2023 12:10
47961,NSJWCD-01d,05N07E33N505M,05N07E33N505M,Groundwater,38.234721,-121.225803,San Joaquin,1,2/24/2023 12:30,2/24/2023 12:30
48043,PVGSA-03 (D06-01),05N07W20M500M,05N07W20M500M,Groundwater,38.261471,-122.661574,Sonoma,1,11/29/2023 9:30,11/29/2023 9:30
48044,PVGSA-02 (E05-01),05N07W21B500M,05N07W21B500M,Groundwater,38.268771,-122.63649,Sonoma,1,11/29/2023 9:10,11/29/2023 9:10
48045,PVGSA-01 (H06-01),05N07W24F500M,05N07W24F500M,Groundwater,38.266483,-122.581712,Sonoma,1,11/29/2023 8:40,11/29/2023 8:40
48046,PVGSA-04 (F06-01),05N07W26D500M,05N07W26D500M,Groundwater,38.255434,-122.608109,Sonoma,1,11/29/2023 9:55,11/29/2023 9:55
48017,ACGMA-01 (shallow),05N09E09G500M,05N09E09G500M,Groundwater,38.3036,-120.9874,Amador,1,4/17/2023 13:30,4/17/2023 13:30
48018,ACGMA-01 (deep),05N09E09G501M,05N09E09G501M,Groundwater,38.3036,-120.9874,Amador,1,4/17/2023 13:45,4/17/2023 13:45
48047,SVGSA-02 (J08-06),06N06W16K500M,06N06W16K500M,Groundwater,38.362579,-122.524609,Sonoma,1,11/29/2023 10:20,11/29/2023 10:20
48048,SVGSA-03 (J10-02),06N06W27G500M,06N06W27G500M,Groundwater,38.339827,-122.508367,Sonoma,1,11/29/2023 11:00,11/29/2023 11:00
